请输入物体数目：请输入背包大小：请输入背包：
The max sum_value is: 
3113
The optimum solution is :
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：278 价值：9 重量: 6
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：15 价值：8.5 重量: 5.57895
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：202 价值：9.08333 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：4 价值：9.4 重量: 5.94444
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：259 价值：8.6 重量: 5.36842
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：134 价值：8.8 重量: 5.31579
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：302 价值：10.7 重量: 6.17647
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：119 价值：10 重量: 5.68421
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
